Total events: 174 Unity-related: 158
--- All Unity events chronological ---
15:02:17.167 | {"ts":1780671737167,"session_id":"diag-unity-15s-silent-1780671737167-ehntzx","event":"diagnostic_header","tag":"unity-15s-silent","breadcrumb_count":173}
15:02:02.163 | unity-overlay:mount markers=0 platform=ios osVersion=18.6.2
15:02:02.163 | unity-overlay:diag:RNUnityView-registered=true keys=Constants,Manager,bubblingEventTypes,Commands,NativeProps,baseModuleName,directE
15:02:02.163 | ar:screen:mount
15:02:02.166 | unity-overlay:view-layout w=375 h=667
15:02:02.171 | unity-overlay:diag:fwExists=true path=F-B45974EDFB61/Cairn.app/Frameworks/UnityFramework.framework
15:02:02.654 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:02.754 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:02.854 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:02.954 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.055 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.155 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.254 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.355 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.455 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.554 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.655 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.755 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.855 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:03.955 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.055 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.155 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.255 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.355 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.455 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.555 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.655 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.755 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.855 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:04.955 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.055 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.155 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.171 | unity-overlay:diag:sending-ping token=ping-1780671725171
15:02:05.171 | unity-overlay:diag:ping-sent
15:02:05.189 | unity-native:info:[CairnBridge] Ping received: ping-1780671725171
15:02:05.189 | unity-overlay:recv:unknown raw=Pong|{"token":"ping-1780671725171","unityTime":F3}
15:02:05.255 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.355 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.455 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.556 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.655 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.755 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.855 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:05.956 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.056 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.156 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.264 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.356 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.456 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.556 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.656 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.756 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.856 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:06.956 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.056 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.156 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.163 | unity-overlay:diag:5s-no-ArReady — uploading
15:02:07.256 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.356 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.456 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.556 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.656 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.756 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.856 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:07.956 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.056 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.156 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.256 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.356 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.456 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
