relativeTimeS,rawOrdinal,source,rawRelativeDisplacementM,horizontalAccuracyM,reportedSpeedMps,speedAccuracyMps,courseDeg,courseAccuracyDeg,positionEstimate,traversalAnchor,movementStateBefore,movementStateAfter,stationaryClusterCount,stationaryClusterRadiusM,candidateState,residualM,robustWeight,crossTrackStabilizer,canonicalDecision,canonicalReason,canonicalEdgeM,displayTarget,memoryContribution
-13,236,foreground,13.955,14.246,1.232,,,,accepted observation,advanced-to-raw-236,moving,moving,6,4.13,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.897,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-12,237,foreground,12.668,14.246,1.213,,,,accepted observation,advanced-to-raw-237,moving,moving,6,4.07,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.504,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-11,238,foreground,11.608,14.246,1.35,,,,accepted observation,advanced-to-raw-238,moving,moving,6,4.2,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.786,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-10,239,foreground,10.656,14.246,1.376,,,,accepted observation,advanced-to-raw-239,moving,moving,6,4.07,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.561,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-9,240,foreground,9.608,14.246,1.173,,,,accepted observation,advanced-to-raw-240,moving,moving,6,4.27,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.257,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-8,241,foreground,8.556,14.246,0.91,,,,accepted observation,advanced-to-raw-241,moving,moving,6,4.03,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.108,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-7,242,foreground,7.447,14.246,0.563,,,,accepted observation,advanced-to-raw-242,moving,moving,6,3.9,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.136,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-5,243,foreground,4.368,14.246,1.074,,,,accepted observation,advanced-to-raw-243,moving,moving,6,4.72,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,3.104,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-4,244,foreground,2.997,14.246,1.183,,,,accepted observation,advanced-to-raw-244,moving,moving,6,5.09,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.474,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
-2,245,foreground,1.212,14.246,0.959,,,,accepted observation,advanced-to-raw-245,moving,moving,6,5.01,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,2,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
0,246,foreground,0,14.246,0.479,,,,accepted observation,advanced-to-raw-246,moving,moving,6,4.93,none,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,coherent-motion,1.212,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
3,247,background,0.614,14.246,0.088,,,,unchanged / candidate-only,held-at-raw-246,moving,uncertain,4,2.46,possible-stationary-jitter:1,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,QUARANTINE,possible-stationary-jitter,0,route endpoint held,0
3.289,248,background,5.857,11.495,0.088,,,,unchanged / candidate-only,held-at-raw-246,uncertain,uncertain,5,6.31,candidate-awaiting-second-fix:2,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,QUARANTINE,candidate-awaiting-second-fix,0,route endpoint held,0
4,249,background,0.529,14.246,0.122,,,,robust-weighted-median (ephemeral; exact coordinate not logged),held-at-raw-246,uncertain,uncertain,5,6.28,candidate-unresolved:1,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,REFINE,candidate-unresolved,0,position estimate only; route endpoint held,0
9,250,background,5.171,14.246,0.85,,,,accepted observation,advanced-to-raw-250,uncertain,moving,4,6.27,candidate-timeout:,,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,ACCEPT,candidate-timeout,5.171,new one-shape endpoint target,canonical edge considered; 0 new cells/area (deduplicated)
20,251,background,2.623,16.105,0.437,,,,unchanged / candidate-only,held-at-raw-250,moving,uncertain,1,0,possible-stationary-jitter:1,11.33,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,QUARANTINE,possible-stationary-jitter,0,route endpoint held,0
24,252,background,12.358,20.623,0.332,,,,unchanged / candidate-only,held-at-raw-250,uncertain,uncertain,2,6.73,candidate-awaiting-second-fix:2,26.04,not emitted / not used by v3 classifier,not implemented in O48 canonical authority,QUARANTINE,candidate-awaiting-second-fix,0,route endpoint held,0
