qaSessionId,eventTimestampUtc,eventTimestampShanghai,eventType,activityState,appState,providerSource,sampleSource,rawOrdinal,nativeTimestampUtc,rawInterArrivalMs,acceptedInterArrivalMs,callbackDelayMs,horizontalAccuracyM,verticalAccuracyM,speedValid,speedMps,courseValid,decision,decisionReason,decisionLatencyMs,dtFromTrustedMs,displacementFromTrustedM,impliedSpeedMps,accuracyAdjustedSpeedMps,trajectoryInnovationM,headingDeltaDeg,motionState,candidateId,segmentSuffix,journalLatencyMs,commitToStoreMs,mapSourceRequestUtc,callbackToMapRequestMs,nativeToMapRequestMs,routePointCount,latestAcceptedAgeMs,notes
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.659Z,2026-09-10T20:49:12.659+08:00,qa_session_started,idle,,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""buildCapable"":true}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.660Z,2026-09-10T20:49:12.660+08:00,activity_provider_selected,idle,,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""requestedSource"":""real"",""startConfigured"":false,""activityMode"":""hiking""}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.660Z,2026-09-10T20:49:12.660+08:00,activity_start_requested,requesting,,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""activityMode"":""hiking"",""providerSource"":""real"",""ownerGenerationSuffix"":""7a010fcd""}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.826Z,2026-09-10T20:49:12.826+08:00,activity_background_authority_v2,requesting,active,real,,,,,,,,,,,,,authorization-refreshed,,,,,,,,,,,,,,,,,,"{""phase"":""authorization-refreshed"",""permissionState"":""foreground-only"",""canAskAgain"":true,""requestAttempted"":false,""appState"":""active"",""foregroundWatcherActive"":false,""backgroundTaskActive"":false,""ownerGenerationSuffix"":""7a010fcd""}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.826Z,2026-09-10T20:49:12.826+08:00,activity_background_authority_v2,requesting,active,real,,,,,,,,,,,,,native-task-stop,,,,,,,,,,,,,,,,,,"{""phase"":""native-task-stop"",""nativeWasStarted"":false,""stopSucceeded"":true,""appState"":""active"",""ownerGenerationSuffix"":""7a010fcd""}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.826Z,2026-09-10T20:49:12.826+08:00,background_location_authorization_refreshed,requesting,,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""permissionState"":""foreground-only"",""canAskAgain"":true,""requestAttempted"":false}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.826Z,2026-09-10T20:49:12.826+08:00,real_activity_background_task_stopped,requesting,active,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""nativeWasStarted"":false,""stopSucceeded"":true,""appState"":""active"",""ownerGenerationSuffix"":""7a010fcd""}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.828Z,2026-09-10T20:49:12.828+08:00,real_activity_location_source_activated,requesting,,real,foreground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""sampleSource"":""foreground"",""requestedIntervalMs"":3000,""requestedDistanceM"":5}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.837Z,2026-09-10T20:49:12.837+08:00,activity_tracking_started,tracking,,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""activityMode"":""hiking"",""providerSource"":""real"",""currentSegmentId"":""0bc1e2b2""}"
qa-mtvixnmb-iim3w848,2026-09-10T12:49:12.838Z,2026-09-10T20:49:12.838+08:00,activity_telemetry_health_v2,tracking,active,real,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{""reason"":""tracking-started"",""expectedRawOrdinalHighWatermark"":0,""retainedObservationDeficit"":0,""retainedDecisionDeficit"":0,""rawPointCount"":0,""canonicalPointCount"":0,""pendingCandidate"":false,""latestAcceptedAgeMs"":null,""backgroundTaskActive"":false,""appState"":""active"",""retainedEventCount"":13,""retainedBytes"":8288,""retainedCriticalCount"":10,""retainedObservationCount"":0,""retainedDecisionCount"":0,""uploadCount"":1,""consecutiveUploadFailures"":0,""lastUploadAt"":1789044552739}"
