qaSessionId,rawOrdinal,eventTimestampShanghai,horizontalAccuracyM,dtFromPreviousAcceptedMs,displacementFromPreviousAcceptedM,impliedSpeedFromPreviousAcceptedMps,accuracyAdjustedSpeedMps,trajectoryInnovationM,headingDeltaDeg,reportedSpeedValid,reportedSpeedMps,reportedCourseValid,dtToNextAcceptedMs,nextAcceptedRawOrdinal,nextAcceptedDisplacementFromSameTrustedAnchorM,distanceFromRejectedToNextAcceptedM,impliedRejectedToNextAcceptedSpeedMps,minimumPossibleCenterSpeedToNextMps,minimumPossibleAddedDistanceM,progressionAssessment,lateralExcursionAssessment,subsequentEvidenceAssessment,counterfactualDisposition,confidence,limitation
qa-mtvixnmb-iim3w848,1,2026-09-10T20:49:17.662+08:00,30.64,,,,,,,false,,false,7519,3,,,,,,no trusted Activity anchor,indeterminate,next accepted fix established the first trusted point,still unknown,low,rejected coordinates were removed from uploaded real-GPS telemetry
qa-mtvixnmb-iim3w848,2,2026-09-10T20:49:22.860+08:00,34.83,,,,,,,false,,false,6644,3,,,,,,no trusted Activity anchor,indeterminate,next accepted fix established the first trusted point,still unknown,low,rejected coordinates were removed from uploaded real-GPS telemetry
qa-mtvixnmb-iim3w848,4,2026-09-10T20:49:32.485+08:00,27.02,,,,,,,false,,false,16140,7,,,,,,new segment had no trusted anchor,indeterminate,three low-quality fixes preceded the first trusted point,still unknown,low,rejected coordinates were removed from uploaded real-GPS telemetry
qa-mtvixnmb-iim3w848,5,2026-09-10T20:49:38.155+08:00,25.31,,,,,,,false,,false,10012,7,,,,,,new segment had no trusted anchor,indeterminate,followed by another low-quality fix then a trusted fix,still unknown,low,rejected coordinates were removed from uploaded real-GPS telemetry
qa-mtvixnmb-iim3w848,6,2026-09-10T20:49:44.155+08:00,30.09,,,,,,,false,,false,4006,7,,,,,,new segment had no trusted anchor,indeterminate,next accepted fix established the segment anchor,still unknown,low,rejected coordinates were removed from uploaded real-GPS telemetry
qa-mtvixnmb-iim3w848,10,2026-09-10T20:49:54.203+08:00,38.65,1000,18.43,18.43,0,15.61,44.05,true,0,false,3000,13,9.52,,,2.97,17.82,large center jump conflicts with reported zero speed,not a proven lateral outlier,subsequent trusted fix is much closer to the old anchor,Candidate,medium,exact rejected-to-next distance and signed bearing were redacted; minima use triangle inequality
qa-mtvixnmb-iim3w848,11,2026-09-10T20:49:55.208+08:00,37.39,2000,28.83,14.41,0,21.73,29.63,true,0,false,2000,13,9.52,,,9.66,38.62,center progression is not credible Hike motion,not a proven lateral outlier,next trusted center requires at least 9.66 m/s from this center,Candidate,medium,exact rejected-to-next distance and signed bearing were redacted; minima use triangle inequality
qa-mtvixnmb-iim3w848,12,2026-09-10T20:49:56.210+08:00,28.19,3000,20.03,6.68,0,11.88,34.48,true,0.36,false,1000,13,9.52,,,10.51,21.02,center progression conflicts with reported walking speed,not a proven lateral outlier,next trusted center requires at least 10.51 m/s from this center,Candidate,medium,exact rejected-to-next distance and signed bearing were redacted; minima use triangle inequality
qa-mtvixnmb-iim3w848,15,2026-09-10T20:49:59.178+08:00,26.86,1000,19.99,19.99,0,14.03,4.64,true,0.37,false,1000,16,8.32,,,11.67,23.34,heading is consistent but center displacement conflicts with speed,next point is directionally ambiguous,next trusted center requires at least 11.67 m/s from this center,Candidate,medium,exact rejected-to-next distance and signed bearing were redacted; minima use triangle inequality
qa-mtvixnmb-iim3w848,83,2026-09-10T20:57:44.142+08:00,27.93,,,,,,,false,,false,3378,84,,,,,,new segment had no trusted anchor,indeterminate,next accepted fix established the segment anchor; RNMapbox consumed the near-identical estimate,still unknown,low,rejected coordinates were removed from uploaded real-GPS telemetry
