qaSessionId,variant,phase,rawOrdinal,shanghaiTime,sampleTimestamp,dtPreviousRawMs,rawDisplacementM,rawTurnDeltaDeg,reportedSpeedMps,horizontalAccuracyM,filterDecision,filterReason,motionState,dtFromTrustedMs,displacementFromTrustedM,impliedSpeedMps,headingDeltaDeg,candidateEvent,candidateDelayMs,candidateCorroboratingM,candidateReversalDeg,canonicalPersisted,retrospectiveCanonicalAgeMs,runtimeLiveTailAgeMs,rnSourceDeltaMs,rnDisplacementM,rnReportedSpeedMps,rnHorizontalAccuracyM,rnToLatestRawM,rnToCanonicalM,shapeRequested,nativeToShapeMs
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,20,2026-09-11T10:28:54.000,1789093734000,1000,1.75,40.0,1.113,14.25,ACCEPT,coherent-motion,stationary,1000,1.75,1.75,,,,,,yes,0,0,0,1.75,1.11,14.25,1.75,1.75,yes,142
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,21,2026-09-11T10:28:55.000,1789093735000,1000,1.31,19.5,1.081,14.25,ACCEPT,coherent-motion,stationary,1000,1.31,1.31,,,,,,yes,0,0,0,1.31,1.08,14.25,1.31,1.31,yes,143
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,22,2026-09-11T10:28:56.000,1789093736000,1000,1.47,25.8,1.418,14.25,ACCEPT,coherent-motion,stationary,1000,1.47,1.47,,,,,,yes,0,0,0,1.47,1.42,14.25,1.47,1.47,yes,139
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,23,2026-09-11T10:28:58.000,1789093738000,2000,1.73,19.9,0.782,14.25,ACCEPT,coherent-motion,stationary,2000,1.73,0.86,,,,,,yes,0,0,0,0.96,0.78,14.25,1.73,1.73,yes,136
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,24,2026-09-11T10:28:59.000,1789093739000,1000,1.10,22.1,0.694,14.25,ACCEPT,coherent-motion,stationary,1000,1.1,1.1,,,,,,yes,0,0,0,1.1,0.69,14.25,1.1,1.1,yes,146
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,25,2026-09-11T10:29:00.000,1789093740000,1000,1.20,6.5,0.745,14.25,ACCEPT,coherent-motion,stationary,1000,1.2,1.2,,,,,,yes,0,0,0,1.2,0.75,14.25,1.2,1.2,yes,151
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,26,2026-09-11T10:29:01.000,1789093741000,1000,1.64,71.2,1.102,14.25,ACCEPT,coherent-motion,stationary,1000,1.64,1.64,,,,,,yes,0,0,0,1.64,1.1,14.25,1.64,1.64,yes,146
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,27,2026-09-11T10:29:01.999,1789093741999,999,1.44,55.7,0.635,14.25,ACCEPT,coherent-motion,stationary,999,1.44,1.44,,,,,,yes,0,0,1,1.29,0.67,14.25,1.29,1.29,yes,137
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,28,2026-09-11T10:29:02.999,1789093742999,1000,1.29,43.0,0.665,14.25,ACCEPT,coherent-motion,stationary,1000,1.29,1.29,,,,,,yes,0,0,1,0.87,0.78,14.25,0.87,0.87,yes,153
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,29,2026-09-11T10:29:04.999,1789093744999,2000,3.12,18.9,1.023,14.25,ACCEPT,coherent-motion,moving,2000,3.12,1.56,,,,,,yes,0,0,1,1.04,0.99,14.25,1.04,1.04,yes,139
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,30,2026-09-11T10:29:05.999,1789093745999,1000,1.04,50.3,0.990,14.25,ACCEPT,coherent-motion,stationary,1000,1.04,1.04,,,,,,yes,0,0,1,0.74,0.82,14.25,0.74,0.74,yes,153
qa-mtwc6yfx-vpqea6di,distanceFilter1,outbound-straight,31,2026-09-11T10:29:07.999,1789093747999,2000,1.19,9.0,0.537,14.25,ACCEPT,coherent-motion,stationary,2000,1.19,0.6,,,,,,yes,0,0,1,0.6,0.44,14.25,0.6,0.6,yes,148
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,32,2026-09-11T10:29:10.999,1789093750999,3000,1.36,101.2,0.034,14.25,ACCEPT,coherent-motion,stationary,3000,1.36,0.45,,,,,,no,3000,3000,1,1.13,0.1,14.25,1.13,1.81,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,33,2026-09-11T10:29:11.999,1789093751999,1000,1.13,87.1,0.097,14.25,ACCEPT,coherent-motion,stationary,4000,1.81,0.45,,,,,,no,4000,4000,1,1.16,0.1,14.25,0,2.91,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,34,2026-09-11T10:29:12.999,1789093752999,1000,1.16,25.0,0.096,14.25,ACCEPT,coherent-motion,stationary,5000,2.91,0.58,,,,,,no,5000,5000,1,0.71,0.09,14.25,0.71,3.6,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,35,2026-09-11T10:29:14.999,1789093754999,2000,1.61,5.5,0.088,14.25,QUARANTINE,possible-stationary-jitter,moving,7000,4.46,0.64,,candidate_created,0,,,no,7000,7000,1,0.69,0.06,14.25,0.69,4.94,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,36,2026-09-11T10:29:16.999,1789093756999,2000,1.69,21.8,0.067,14.25,REJECT,stationary-cluster-suppressed,moving,9000,5.92,0.66,,candidate_rejected,2000,1.69,34.6,no,9000,9000,1,0.97,0.11,14.25,0.97,6.89,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,37,2026-09-11T10:29:18.999,1789093758999,2000,1.95,20.3,0.075,14.25,QUARANTINE,possible-stationary-jitter,moving,11000,7.87,0.72,,candidate_created,0,,,no,11000,11000,1,0.35,0.03,14.25,0.35,8.19,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,38,2026-09-11T10:29:20.999,1789093760999,2000,1.17,8.5,0.022,14.25,REJECT,stationary-cluster-suppressed,moving,13000,9.01,0.69,,candidate_rejected,2000,1.17,12.26,no,13000,13000,1,1.28,0.13,14.25,1.28,10.07,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,39,2026-09-11T10:29:21.999,1789093761999,1000,1.28,47.9,0.129,14.25,QUARANTINE,possible-stationary-jitter,moving,14000,10.07,0.72,,candidate_created,0,,,no,14000,14000,1,0.88,0.07,14.25,0.88,10.84,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,40,2026-09-11T10:29:23.999,1789093763999,2000,1.81,8.2,0.074,14.25,REJECT,stationary-cluster-suppressed,moving,16000,11.73,0.73,,candidate_rejected,2000,1.81,24.6,no,16000,16000,1,1.1,0.09,14.25,1.1,12.8,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,41,2026-09-11T10:29:24.999,1789093764999,1000,1.10,6.6,0.089,14.25,QUARANTINE,possible-stationary-jitter,moving,17000,12.8,0.75,,candidate_created,0,,,no,17000,17000,1,1.24,0.1,14.25,1.24,13.95,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,42,2026-09-11T10:29:25.999,1789093765999,1000,1.24,9.8,0.099,14.25,REJECT,stationary-cluster-suppressed,moving,18000,13.95,0.78,,candidate_rejected,1000,1.24,22.94,no,18000,18000,1,1.07,0.08,14.25,1.07,15.02,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,turnaround-hesitation,43,2026-09-11T10:29:26.999,1789093766999,1000,1.07,20.1,0.083,14.25,ACCEPT,coherent-motion,moving,19000,15.02,0.79,,,,,,yes,0,0,1,1.08,0.09,14.25,1.08,1.08,yes,160
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,44,2026-09-11T10:29:27.999,1789093767999,1000,1.08,1.4,0.085,14.25,ACCEPT,coherent-motion,stationary,1000,1.08,1.08,2.11,,,,,no,1000,1000,1,1.66,0.1,14.25,1.66,2.74,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,45,2026-09-11T10:29:28.999,1789093768999,1000,1.66,6.5,0.100,14.25,ACCEPT,coherent-motion,stationary,2000,2.74,1.37,6.03,,,,,no,2000,2000,1,0.96,0.06,14.25,0.96,3.68,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,46,2026-09-11T10:29:30.999,1789093770999,2000,2.15,16.5,0.070,14.25,QUARANTINE,possible-stationary-jitter,moving,4000,4.85,1.21,0.1,candidate_created,0,,,no,4000,4000,1,1.39,0.06,14.25,1.39,6.24,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,47,2026-09-11T10:29:31.999,1789093771999,1000,1.39,2.9,0.063,14.25,REJECT,stationary-cluster-suppressed,moving,5000,6.24,1.25,1.19,candidate_rejected,1000,1.39,4.9,no,5000,5000,1,1.11,0.09,14.25,1.11,7.33,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,48,2026-09-11T10:29:32.999,1789093772999,1000,1.11,9.4,0.089,14.25,QUARANTINE,possible-stationary-jitter,moving,6000,7.33,1.22,3.17,candidate_created,0,,,no,6000,6000,1,0.75,0.1,14.25,0.75,8.03,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,49,2026-09-11T10:29:34.999,1789093774999,2000,1.32,4.4,0.057,14.25,REJECT,stationary-cluster-suppressed,moving,8000,8.6,1.08,5.54,candidate_rejected,2000,1.32,15.62,no,8000,8000,1,0.8,0.08,14.25,0.8,9.36,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,50,2026-09-11T10:29:36.999,1789093776999,2000,2.12,22.7,0.097,14.25,QUARANTINE,possible-stationary-jitter,moving,10000,10.7,1.07,3.68,candidate_created,0,,,no,10000,10000,1,1.2,0.07,14.25,1.2,11.91,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,51,2026-09-11T10:29:37.999,1789093777999,1000,1.20,6.0,0.073,14.25,REJECT,stationary-cluster-suppressed,moving,11000,11.91,1.08,3.53,candidate_rejected,1000,1.2,1.51,no,11000,11000,1,0.95,0.06,14.25,0.95,12.85,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,52,2026-09-11T10:29:39.999,1789093779999,2000,2.13,4.5,0.069,14.25,QUARANTINE,possible-stationary-jitter,moving,13000,14.03,1.08,4.01,candidate_created,0,,,yes,0,13000,1,1.2,0.07,14.25,1.2,15.2,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,53,2026-09-11T10:29:40.999,1789093780999,1000,1.20,14.6,0.070,14.25,ACCEPT,candidate-new-direction-confirmed,moving,14000,15.2,1.09,3.09,candidate_confirmed,1000,1.2,11.89,yes,0,0,1,1.37,0.09,14.25,1.37,1.37,yes,186
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,54,2026-09-11T10:29:41.999,1789093781999,1000,1.37,5.6,0.093,14.25,ACCEPT,coherent-motion,stationary,1000,1.37,1.37,,,,,,no,1000,1000,1,1.08,0.09,14.25,1.08,2.45,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,55,2026-09-11T10:29:42.999,1789093782999,1000,1.08,6.4,0.092,14.25,ACCEPT,coherent-motion,stationary,2000,2.45,1.22,,,,,,no,2000,2000,1,1.29,0.11,14.25,1.29,3.74,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,56,2026-09-11T10:29:43.999,1789093783999,1000,1.29,5.3,0.112,14.25,ACCEPT,coherent-motion,moving,3000,3.74,1.25,,,,,,yes,0,0,1,1.43,0.1,14.25,1.43,1.43,yes,156
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,57,2026-09-11T10:29:44.999,1789093784999,1000,1.43,10.6,0.095,14.25,ACCEPT,coherent-motion,stationary,1000,1.43,1.43,,,,,,no,1000,1000,1,1.43,0.1,14.25,1.43,2.85,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,58,2026-09-11T10:29:45.999,1789093785999,1000,1.43,2.7,0.096,14.25,ACCEPT,coherent-motion,stationary,2000,2.85,1.43,,,,,,no,2000,2000,1,1.28,0.09,14.25,1.28,4.13,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,59,2026-09-11T10:29:46.999,1789093786999,1000,1.28,2.3,0.094,14.25,QUARANTINE,possible-stationary-jitter,moving,3000,4.13,1.38,,candidate_created,0,,,no,3000,3000,1,1.36,0.11,14.25,1.36,5.49,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,60,2026-09-11T10:29:47.999,1789093787999,1000,1.36,1.3,0.111,14.25,REJECT,stationary-cluster-suppressed,moving,4000,5.49,1.37,,candidate_rejected,1000,1.36,0.65,no,4000,4000,1,1.1,0.08,14.25,1.1,6.57,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,61,2026-09-11T10:29:48.999,1789093788999,1000,1.10,13.2,0.077,14.25,QUARANTINE,possible-stationary-jitter,moving,5000,6.57,1.31,,candidate_created,0,,,no,5000,5000,1,1.17,0.09,14.25,1.17,7.68,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,62,2026-09-11T10:29:49.999,1789093789999,1000,1.17,10.1,0.087,14.25,REJECT,stationary-cluster-suppressed,moving,6000,7.68,1.28,,candidate_rejected,1000,1.17,20.63,no,6000,6000,1,1.16,0.11,14.25,1.16,8.82,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,63,2026-09-11T10:29:50.999,1789093790999,1000,1.16,28.3,0.112,14.25,QUARANTINE,possible-stationary-jitter,moving,7000,8.82,1.26,,candidate_created,0,,,yes,0,7000,1,0.96,0.07,14.25,0.96,9.78,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,return,64,2026-09-11T10:29:52.999,1789093792999,2000,2.01,9.7,0.080,14.25,ACCEPT,candidate-new-direction-confirmed,moving,9000,10.83,1.2,,candidate_confirmed,2000,2.01,0.37,yes,0,0,1,1.21,0.09,14.25,1.21,1.21,yes,194
qa-mtwc6yfx-vpqea6di,distanceFilter1,ending,65,2026-09-11T10:29:53.999,1789093793999,1000,1.21,2.9,0.086,14.25,ACCEPT,coherent-motion,stationary,1000,1.21,1.21,,,,,,no,1000,1000,1,0.99,0.09,14.25,0.99,2.2,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,ending,66,2026-09-11T10:29:55.999,1789093795999,2000,1.95,4.5,0.074,14.25,ACCEPT,coherent-motion,moving,3000,3.16,1.05,,,,,,no,3000,3000,1,1.03,0.09,14.25,1.03,4.19,no,
qa-mtwc6yfx-vpqea6di,distanceFilter1,ending,67,2026-09-11T10:29:56.999,1789093796999,1000,1.03,5.3,0.085,14.25,QUARANTINE,possible-stationary-jitter,moving,4000,4.19,1.05,,candidate_created,0,,,no,4000,4000,1,1.09,0.09,14.25,1.09,5.26,no,
