qaSessionId,activityName,intendedSelection,actualVariant,eventTimestampShanghai,rawOrdinal,nativeTimestampMs,dtPreviousRawMs,rawDisplacementM,cairnAccuracyM,cairnSpeedMps,cairnCourseDeg,filterDecision,decisionReason,finalDisposition,shapeSourceTimestampShanghai,callbackToShapeSourceMs,nearestRnmapboxEventShanghai,rnmapboxSourceTimestampMs,rnmapboxMinusCairnSourceMs,rnmapboxSourceIntervalMs,rnmapboxDisplacementM,rnmapboxAccuracyM,rnmapboxToLatestCairnRawM,rnmapboxToLatestCanonicalM
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:42:02.036,1,1789090921974,,,26.93,,,REJECT,poor-horizontal-accuracy,REJECT,,,2026-09-11T09:42:02.035,1789090921000,-974,6000,12.37,26.93,,
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:42:07.901,2,1789090927877,5903,7.09,26.92,,,REJECT,poor-horizontal-accuracy,REJECT,,,2026-09-11T09:42:07.899,1789090927000,-877,6000,7.09,26.92,7.09,
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:42:14.155,3,1789090934120,6243,20.69,26.93,,,REJECT,poor-horizontal-accuracy,REJECT,,,2026-09-11T09:42:14.151,1789090934000,-120,7000,20.69,26.93,20.69,
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:42:20.025,4,1789090940007,5887,21.33,26.92,,,REJECT,poor-horizontal-accuracy,REJECT,,,2026-09-11T09:42:20.023,1789090940000,-7,6000,21.33,26.92,21.33,
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:42:25.918,5,1789090945895,5888,5.17,21.95,,,ACCEPT,first-trusted-fix,ACCEPT_CANONICAL,2026-09-11T09:42:25.959,41,2026-09-11T09:42:25.915,1789090945000,-895,5000,5.17,21.95,5.17,
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:42:38.022,6,1789090958002,12107,16.4,24.93,,,ACCEPT,coherent-motion,ACCEPT_CANONICAL,2026-09-11T09:42:38.067,45,2026-09-11T09:42:38.018,1789090958000,-2,6000,18.3,24.93,16.4,16.4
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:42:44.344,7,1789090964281,6279,6.87,14.09,0,,QUARANTINE,possible-stationary-jitter,QUARANTINED_NOT_CANONICAL,,,2026-09-11T09:42:44.056,1789090964000,-281,6000,3.58,26.92,3.58,3.58
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:42:54.119,8,1789090974040,9759,1.48,5.54,1.01,,ACCEPT,coherent-motion,ACCEPT_CANONICAL,2026-09-11T09:42:54.151,32,2026-09-11T09:42:54.114,1789090974000,-40,1000,0.78,5.54,1.48,8.34
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:43:00.106,9,1789090980026,5986,5.28,7.3,0.88,,ACCEPT,coherent-motion,ACCEPT_CANONICAL,2026-09-11T09:43:00.138,32,2026-09-11T09:43:00.101,1789090980000,-26,1000,0.94,7.3,5.28,5.28
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:43:10.101,10,1789090990012,9986,5.42,14.25,0.04,,QUARANTINE,possible-stationary-jitter,QUARANTINED_NOT_CANONICAL,,,2026-09-11T09:43:10.093,1789090990000,-12,1000,0.75,14.25,5.42,5.42
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:43:17.099,11,1789090997007,6995,10.93,14.25,1.01,,ACCEPT,coherent-motion,ACCEPT_CANONICAL,2026-09-11T09:43:17.133,34,2026-09-11T09:43:17.093,1789090997000,-7,1000,7.99,14.25,10.93,16.3
qa-mtwajfzr-1w5yy6u6,5m,5 m baseline,distanceFilter5,2026-09-11T09:43:22.099,12,1789091002004,4997,5.34,14.25,1.01,,ACCEPT,coherent-motion,ACCEPT_CANONICAL,2026-09-11T09:43:22.136,37,2026-09-11T09:43:22.087,1789091002000,-4,1000,1.59,14.25,5.34,5.34
